Sales Person,Geography,Product,Date,Amount,Customers,Boxes
Beverie Moffet,Canada,Choco Coated Almonds,1/7/2021,5733.00,193,338
Gigi Bohling,Canada,50% Dark Bites,1/7/2021,10451.00,155,1307
Madelene Upcott,India,Manuka Honey Choco,1/7/2021,11228.00,236,388
Kelci Walkden,UK,Caramel Stuffed Bars,1/7/2021,3073.00,137,129
Andria Kimpton,Australia,85% Dark Bars,1/7/2021,5467.00,109,288
Ches Bonnell,USA,Smooth Sliky Salty,1/7/2021,4067.00,272,226
Dennison Crosswaite,India,Mint Chip Choco,1/8/2021,2814.00,69,149
Roddy Speechley,New Zealand,Caramel Stuffed Bars,1/8/2021,2716.00,299,105
Jehu Rudeforth,Australia,Orange Choco,1/8/2021,3570.00,61,325
Karlen McCaffrey,India,85% Dark Bars,1/8/2021,9562.00,123,479
Rafaelita Blaksland,New Zealand,Peanut Butter Cubes,1/8/2021,2373.00,2,104
Ches Bonnell,India,Caramel Stuffed Bars,1/8/2021,2807.00,236,123
Brien Boise,USA,Milk Bars,1/8/2021,420.00,196,14
Curtice Advani,USA,Raspberry Choco,1/8/2021,8239.00,157,515
Gigi Bohling,New Zealand,50% Dark Bites,1/8/2021,6797.00,114,486
Jehu Rudeforth,New Zealand,85% Dark Bars,1/8/2021,6048.00,56,319
Gigi Bohling,Australia,Raspberry Choco,1/8/2021,364.00,14,21
Beverie Moffet,Australia,White Choc,1/8/2021,6496.00,15,406
Roddy Speechley,USA,Orange Choco,1/8/2021,1057.00,45,106
Ches Bonnell,UK,Raspberry Choco,1/8/2021,357.00,185,17
Ches Bonnell,Australia,Drinking Coco,1/8/2021,6419.00,359,257
Ches Bonnell,Canada,Spicy Special Slims,1/8/2021,12726.00,179,579
Marney O'Breen,USA,85% Dark Bars,1/11/2021,6006.00,109,376
Kelci Walkden,UK,99% Dark & Pure,1/11/2021,5124.00,33,285
Van Tuxwell,New Zealand,Milk Bars,1/11/2021,2709.00,188,113
Barr Faughny,Australia,Milk Bars,1/11/2021,7238.00,67,315
Curtice Advani,India,White Choc,1/12/2021,6776.00,68,424
Husein Augar,UK,Milk Bars,1/12/2021,189.00,123,8
Ches Bonnell,USA,Fruit & Nut Bars,1/12/2021,4669.00,217,390
Barr Faughny,Canada,70% Dark Bites,1/12/2021,490.00,188,35
Ches Bonnell,Australia,70% Dark Bites,1/12/2021,4235.00,76,283
Jan Morforth,USA,Drinking Coco,1/12/2021,4487.00,161,187
Dennison Crosswaite,Canada,Baker's Choco Chips,1/12/2021,2653.00,147,332
Wilone O'Kielt,New Zealand,Spicy Special Slims,1/12/2021,5306.00,5,253
Marney O'Breen,USA,50% Dark Bites,1/12/2021,6888.00,112,689
Ches Bonnell,New Zealand,Organic Choco Syrup,1/12/2021,721.00,45,24
Dotty Strutley,India,Spicy Special Slims,1/12/2021,8610.00,124,345
Brien Boise,USA,Fruit & Nut Bars,1/12/2021,11739.00,22,903
Marney O'Breen,India,Orange Choco,1/13/2021,4774.00,206,341
Brien Boise,Canada,50% Dark Bites,1/13/2021,6307.00,123,789
Mallorie Waber,Canada,99% Dark & Pure,1/13/2021,4340.00,168,217
Andria Kimpton,India,70% Dark Bites,1/13/2021,1078.00,76,77
Jan Morforth,UK,Almond Choco,1/13/2021,5418.00,287,247
Gunar Cockshoot,USA,Choco Coated Almonds,1/13/2021,6069.00,268,434
Kelci Walkden,USA,Choco Coated Almonds,1/13/2021,12334.00,119,686
Ches Bonnell,UK,Drinking Coco,1/13/2021,728.00,234,32
Mallorie Waber,India,Baker's Choco Chips,1/13/2021,2135.00,179,165
Kaine Padly,New Zealand,85% Dark Bars,1/13/2021,2121.00,130,89
Karlen McCaffrey,UK,Milk Bars,1/14/2021,6881.00,10,222
Roddy Speechley,New Zealand,Drinking Coco,1/14/2021,1239.00,97,50
Marney O'Breen,Australia,Mint Chip Choco,1/14/2021,3598.00,365,257
Madelene Upcott,Canada,Smooth Sliky Salty,1/14/2021,6580.00,210,347
Ches Bonnell,UK,Spicy Special Slims,1/14/2021,1127.00,97,54
Jehu Rudeforth,India,Peanut Butter Cubes,1/14/2021,3605.00,345,139
Andria Kimpton,New Zealand,After Nines,1/14/2021,5096.00,201,196
Camilla Castle,USA,99% Dark & Pure,1/14/2021,2135.00,183,98
Jan Morforth,USA,Raspberry Choco,1/14/2021,35.00,142,3
Husein Augar,India,70% Dark Bites,1/14/2021,13090.00,17,935
Gigi Bohling,UK,Smooth Sliky Salty,1/14/2021,15785.00,209,1128
Oby Sorrel,Australia,Fruit & Nut Bars,1/14/2021,14574.00,86,810
Husein Augar,New Zealand,Caramel Stuffed Bars,1/14/2021,3556.00,195,143
Dennison Crosswaite,USA,Fruit & Nut Bars,1/14/2021,14532.00,142,969
Van Tuxwell,New Zealand,Caramel Stuffed Bars,1/14/2021,4445.00,340,159
Rafaelita Blaksland,USA,Milk Bars,1/14/2021,10339.00,207,357
Gunar Cockshoot,New Zealand,After Nines,1/14/2021,1351.00,282,55
Dennison Crosswaite,New Zealand,Baker's Choco Chips,1/14/2021,4011.00,260,335
Rafaelita Blaksland,UK,Fruit & Nut Bars,1/14/2021,5306.00,333,483
Roddy Speechley,USA,After Nines,1/14/2021,18704.00,78,585
Mallorie Waber,Canada,Smooth Sliky Salty,1/14/2021,9310.00,62,582
Wilone O'Kielt,New Zealand,Eclairs,1/14/2021,1211.00,37,61
Andria Kimpton,Canada,Raspberry Choco,1/15/2021,3094.00,317,148
Rafaelita Blaksland,New Zealand,Raspberry Choco,1/15/2021,4949.00,244,248
Curtice Advani,New Zealand,99% Dark & Pure,1/15/2021,308.00,91,19
Husein Augar,India,Caramel Stuffed Bars,1/15/2021,7546.00,49,329
Karlen McCaffrey,USA,85% Dark Bars,1/15/2021,6713.00,422,373
Dotty Strutley,New Zealand,Caramel Stuffed Bars,1/15/2021,6895.00,318,300
Dennison Crosswaite,New Zealand,Mint Chip Choco,1/15/2021,3430.00,120,202
Mallorie Waber,New Zealand,White Choc,1/18/2021,4165.00,61,348
Camilla Castle,India,Almond Choco,1/18/2021,2380.00,209,159
Gunar Cockshoot,UK,White Choc,1/18/2021,6594.00,114,413
Wilone O'Kielt,Australia,Raspberry Choco,1/18/2021,1428.00,55,76
Beverie Moffet,Australia,Drinking Coco,1/18/2021,2646.00,150,116
Brien Boise,India,Milk Bars,1/18/2021,238.00,364,11
Roddy Speechley,Australia,Raspberry Choco,1/18/2021,945.00,298,50
Husein Augar,UK,Spicy Special Slims,1/18/2021,9436.00,102,337
Rafaelita Blaksland,USA,Spicy Special Slims,1/18/2021,4081.00,116,152
Wilone O'Kielt,USA,99% Dark & Pure,1/18/2021,10556.00,25,587
Barr Faughny,USA,White Choc,1/18/2021,2331.00,38,167
Husein Augar,Canada,Organic Choco Syrup,1/19/2021,896.00,346,32
Oby Sorrel,India,Manuka Honey Choco,1/19/2021,4214.00,314,169
Oby Sorrel,Canada,Orange Choco,1/19/2021,2121.00,90,177
Van Tuxwell,India,85% Dark Bars,1/19/2021,1029.00,386,47
Ches Bonnell,India,Mint Chip Choco,1/19/2021,15407.00,103,771
Gunar Cockshoot,New Zealand,Caramel Stuffed Bars,1/19/2021,10129.00,134,406
Jan Morforth,USA,Smooth Sliky Salty,1/19/2021,16380.00,203,1092
Roddy Speechley,India,White Choc,1/19/2021,3899.00,102,279
Gigi Bohling,Canada,Spicy Special Slims,1/19/2021,12075.00,264,432
Husein Augar,USA,Manuka Honey Choco,1/19/2021,10696.00,115,428
Beverie Moffet,USA,Almond Choco,1/19/2021,4039.00,436,238
Madelene Upcott,India,Peanut Butter Cubes,1/19/2021,5250.00,410,202
Mallorie Waber,India,99% Dark & Pure,1/19/2021,8113.00,25,508
Ches Bonnell,UK,Eclairs,1/19/2021,161.00,95,10
Kaine Padly,UK,Spicy Special Slims,1/19/2021,8218.00,205,294
Curtice Advani,Australia,Baker's Choco Chips,1/19/2021,742.00,80,53
Gunar Cockshoot,USA,After Nines,1/19/2021,3087.00,193,111
Ches Bonnell,India,Manuka Honey Choco,1/19/2021,5110.00,131,155
Wilone O'Kielt,New Zealand,Raspberry Choco,1/19/2021,5873.00,164,267
Husein Augar,UK,Mint Chip Choco,1/19/2021,4641.00,301,357
Wilone O'Kielt,New Zealand,Peanut Butter Cubes,1/20/2021,1155.00,34,45
Brien Boise,UK,50% Dark Bites,1/20/2021,784.00,247,49
Camilla Castle,New Zealand,Mint Chip Choco,1/20/2021,5369.00,16,384
Brien Boise,Canada,Eclairs,1/20/2021,343.00,338,18
Brien Boise,UK,70% Dark Bites,1/20/2021,7007.00,38,584
Kelci Walkden,India,Baker's Choco Chips,1/20/2021,126.00,127,13
Marney O'Breen,India,99% Dark & Pure,1/20/2021,3073.00,57,134
Beverie Moffet,New Zealand,Choco Coated Almonds,1/21/2021,7805.00,86,488
Andria Kimpton,UK,After Nines,1/21/2021,3087.00,14,124
Jan Morforth,New Zealand,Choco Coated Almonds,1/21/2021,9030.00,85,452
Wilone O'Kielt,USA,Smooth Sliky Salty,1/21/2021,7805.00,6,411
Madelene Upcott,India,After Nines,1/21/2021,6979.00,38,233
Beverie Moffet,India,Drinking Coco,1/21/2021,11284.00,39,513
Rafaelita Blaksland,Australia,Milk Bars,1/21/2021,2408.00,106,90
Gunar Cockshoot,UK,50% Dark Bites,1/21/2021,5299.00,86,332
Brien Boise,UK,Organic Choco Syrup,1/21/2021,6293.00,158,234
Ches Bonnell,Australia,Almond Choco,1/21/2021,280.00,408,17
Gigi Bohling,India,85% Dark Bars,1/21/2021,644.00,483,30
Kaine Padly,Australia,Choco Coated Almonds,1/21/2021,2191.00,65,110
Marney O'Breen,New Zealand,Choco Coated Almonds,1/21/2021,427.00,267,26
Dotty Strutley,Canada,Smooth Sliky Salty,1/21/2021,5537.00,346,426
Madelene Upcott,Australia,99% Dark & Pure,1/21/2021,742.00,264,31
Van Tuxwell,Canada,85% Dark Bars,1/21/2021,4200.00,457,248
Ches Bonnell,UK,Baker's Choco Chips,1/21/2021,5299.00,203,442
Ches Bonnell,USA,Caramel Stuffed Bars,1/21/2021,3829.00,286,160
Oby Sorrel,New Zealand,Manuka Honey Choco,1/21/2021,5747.00,70,192
Curtice Advani,New Zealand,85% Dark Bars,1/21/2021,2345.00,199,147
Karlen McCaffrey,New Zealand,Orange Choco,1/22/2021,4312.00,181,616
Camilla Castle,New Zealand,85% Dark Bars,1/22/2021,1358.00,68,68
Barr Faughny,USA,Orange Choco,1/22/2021,13146.00,85,1644
Gigi Bohling,Australia,White Choc,1/22/2021,12047.00,295,927
Ches Bonnell,Canada,Smooth Sliky Salty,1/22/2021,5971.00,44,460
Marney O'Breen,New Zealand,50% Dark Bites,1/22/2021,3038.00,280,254
Oby Sorrel,UK,Organic Choco Syrup,1/22/2021,8022.00,167,268
Marney O'Breen,Canada,Baker's Choco Chips,1/22/2021,2226.00,1,248
Brien Boise,Canada,Caramel Stuffed Bars,1/22/2021,2366.00,470,79
Roddy Speechley,Australia,50% Dark Bites,1/22/2021,8386.00,194,599
Gunar Cockshoot,Canada,Organic Choco Syrup,1/22/2021,13230.00,261,576
Rafaelita Blaksland,UK,Almond Choco,1/22/2021,1771.00,151,111
Jan Morforth,UK,Raspberry Choco,1/22/2021,3416.00,458,228
Rafaelita Blaksland,UK,85% Dark Bars,1/22/2021,15197.00,11,634
Ches Bonnell,New Zealand,Baker's Choco Chips,1/22/2021,5971.00,59,498
Dennison Crosswaite,UK,Orange Choco,1/22/2021,13335.00,227,1667
Van Tuxwell,Canada,Choco Coated Almonds,1/22/2021,4613.00,54,210
Karlen McCaffrey,India,Fruit & Nut Bars,1/22/2021,10430.00,110,580
Oby Sorrel,USA,Almond Choco,1/22/2021,168.00,94,10
Camilla Castle,UK,99% Dark & Pure,1/22/2021,4606.00,256,192
Husein Augar,UK,White Choc,1/22/2021,1491.00,193,136
Dennison Crosswaite,India,99% Dark & Pure,1/25/2021,12194.00,302,509
Karlen McCaffrey,UK,Raspberry Choco,1/25/2021,10122.00,206,533
Andria Kimpton,Australia,99% Dark & Pure,1/25/2021,1841.00,164,88
Marney O'Breen,UK,Orange Choco,1/25/2021,6958.00,337,580
Kaine Padly,India,99% Dark & Pure,1/25/2021,749.00,323,35
Marney O'Breen,UK,Raspberry Choco,1/25/2021,3507.00,48,195
Rafaelita Blaksland,New Zealand,Baker's Choco Chips,1/25/2021,7294.00,122,562
Brien Boise,India,Fruit & Nut Bars,1/25/2021,5040.00,219,420
Brien Boise,India,Organic Choco Syrup,1/25/2021,3913.00,257,157
Andria Kimpton,USA,50% Dark Bites,1/25/2021,3598.00,101,300
Beverie Moffet,USA,Spicy Special Slims,1/25/2021,8911.00,302,319
Ches Bonnell,New Zealand,Peanut Butter Cubes,1/25/2021,42.00,35,2
Jan Morforth,India,Choco Coated Almonds,1/25/2021,2282.00,222,109
Van Tuxwell,Canada,99% Dark & Pure,1/25/2021,12964.00,242,541
Andria Kimpton,Canada,Smooth Sliky Salty,1/25/2021,5775.00,219,361
Marney O'Breen,New Zealand,Spicy Special Slims,1/25/2021,10787.00,100,400
Oby Sorrel,Australia,Choco Coated Almonds,1/25/2021,6342.00,115,374
Dotty Strutley,India,Peanut Butter Cubes,1/25/2021,11564.00,46,463
Gunar Cockshoot,USA,Raspberry Choco,1/25/2021,2793.00,37,156
Madelene Upcott,Canada,70% Dark Bites,1/25/2021,1603.00,81,134
Curtice Advani,Australia,Almond Choco,1/25/2021,3052.00,357,180
Karlen McCaffrey,Canada,Choco Coated Almonds,1/25/2021,1659.00,82,83
Barr Faughny,New Zealand,Mint Chip Choco,1/25/2021,3143.00,82,210
Dennison Crosswaite,USA,Choco Coated Almonds,1/25/2021,12782.00,212,609
Mallorie Waber,New Zealand,70% Dark Bites,1/25/2021,343.00,313,32
Brien Boise,New Zealand,White Choc,1/25/2021,1785.00,216,138
Brien Boise,Canada,Orange Choco,1/25/2021,4914.00,46,615
Madelene Upcott,UK,White Choc,1/26/2021,1869.00,242,208
Wilone O'Kielt,India,Spicy Special Slims,1/26/2021,8512.00,173,387
Van Tuxwell,UK,Orange Choco,1/26/2021,9296.00,1,716
Oby Sorrel,Australia,Drinking Coco,1/26/2021,6034.00,229,263
Jehu Rudeforth,India,After Nines,1/26/2021,9471.00,166,365
Kelci Walkden,India,Peanut Butter Cubes,1/26/2021,3815.00,146,166
Barr Faughny,New Zealand,Eclairs,1/26/2021,9485.00,140,527
Marney O'Breen,USA,Organic Choco Syrup,1/26/2021,3549.00,78,132
Wilone O'Kielt,UK,Orange Choco,1/26/2021,1512.00,61,117
Jan Morforth,Canada,Organic Choco Syrup,1/26/2021,2296.00,113,96
Husein Augar,India,Milk Bars,1/27/2021,17402.00,43,697
Kelci Walkden,UK,Fruit & Nut Bars,1/27/2021,11816.00,160,844
Rafaelita Blaksland,New Zealand,Organic Choco Syrup,1/27/2021,10612.00,232,425
Barr Faughny,USA,Milk Bars,1/27/2021,5558.00,263,192
Mallorie Waber,UK,Raspberry Choco,1/27/2021,14056.00,148,781
Andria Kimpton,USA,Organic Choco Syrup,1/27/2021,5131.00,171,166
Marney O'Breen,USA,99% Dark & Pure,1/27/2021,1477.00,352,87
Curtice Advani,Australia,Raspberry Choco,1/27/2021,7686.00,72,549
Van Tuxwell,UK,85% Dark Bars,1/27/2021,8722.00,35,460
Ches Bonnell,UK,Organic Choco Syrup,1/27/2021,6370.00,35,206
Gunar Cockshoot,UK,85% Dark Bars,1/27/2021,4074.00,208,240
Roddy Speechley,New Zealand,After Nines,1/27/2021,1309.00,97,51
Kaine Padly,Australia,Smooth Sliky Salty,1/27/2021,4991.00,137,357
Wilone O'Kielt,Canada,Peanut Butter Cubes,1/27/2021,6965.00,91,367
Kelci Walkden,Australia,Manuka Honey Choco,1/27/2021,10199.00,497,408
Karlen McCaffrey,New Zealand,Choco Coated Almonds,1/27/2021,7392.00,9,390
Barr Faughny,New Zealand,Fruit & Nut Bars,1/27/2021,5880.00,71,392
Wilone O'Kielt,USA,After Nines,1/27/2021,5950.00,25,238
Dotty Strutley,USA,Organic Choco Syrup,1/27/2021,10395.00,57,336
Jehu Rudeforth,India,Drinking Coco,1/27/2021,6174.00,33,247
Wilone O'Kielt,New Zealand,70% Dark Bites,1/27/2021,15239.00,170,1524
Mallorie Waber,Canada,Orange Choco,1/27/2021,2219.00,145,247
Rafaelita Blaksland,New Zealand,70% Dark Bites,1/27/2021,3150.00,70,243
Rafaelita Blaksland,UK,Baker's Choco Chips,1/27/2021,2968.00,216,212
Dennison Crosswaite,Canada,Mint Chip Choco,1/27/2021,3241.00,199,163
Kelci Walkden,Canada,Drinking Coco,1/27/2021,3605.00,120,151
Oby Sorrel,Canada,99% Dark & Pure,1/28/2021,3640.00,169,174
Husein Augar,Canada,99% Dark & Pure,1/28/2021,1309.00,294,77
Jan Morforth,India,Eclairs,1/28/2021,10346.00,131,739
Kelci Walkden,Canada,Raspberry Choco,1/28/2021,1071.00,359,54
Husein Augar,UK,70% Dark Bites,1/28/2021,6328.00,119,791
Kaine Padly,Canada,After Nines,1/28/2021,1820.00,143,68
Andria Kimpton,India,Choco Coated Almonds,1/28/2021,3437.00,179,157
Rafaelita Blaksland,UK,White Choc,1/28/2021,4550.00,214,455
Barr Faughny,Canada,Drinking Coco,1/28/2021,2968.00,259,110
Dotty Strutley,USA,Eclairs,1/28/2021,12565.00,4,898
Rafaelita Blaksland,Canada,Milk Bars,1/28/2021,8246.00,294,318
Andria Kimpton,India,Mint Chip Choco,1/28/2021,1190.00,137,70
Roddy Speechley,New Zealand,Eclairs,1/28/2021,3283.00,146,183
Ches Bonnell,Australia,Manuka Honey Choco,1/28/2021,3087.00,300,115
Oby Sorrel,India,Choco Coated Almonds,1/28/2021,6531.00,244,297
Marney O'Breen,USA,White Choc,1/28/2021,4228.00,55,249
Roddy Speechley,USA,Caramel Stuffed Bars,1/28/2021,10094.00,118,389
Mallorie Waber,New Zealand,Milk Bars,1/28/2021,182.00,46,6
Jehu Rudeforth,New Zealand,White Choc,1/28/2021,616.00,151,37
Roddy Speechley,USA,Smooth Sliky Salty,1/29/2021,12131.00,121,809
Kaine Padly,USA,Drinking Coco,1/29/2021,2394.00,323,93
Karlen McCaffrey,India,White Choc,1/29/2021,14287.00,89,841
Husein Augar,New Zealand,Almond Choco,1/29/2021,10941.00,185,730
Roddy Speechley,UK,Drinking Coco,1/29/2021,7777.00,345,260
Curtice Advani,Canada,Orange Choco,1/29/2021,9436.00,7,858
Kaine Padly,Canada,Fruit & Nut Bars,1/29/2021,1267.00,104,116
Kaine Padly,USA,After Nines,1/29/2021,8806.00,32,327
Curtice Advani,UK,Choco Coated Almonds,1/29/2021,3640.00,403,243
Kaine Padly,UK,Caramel Stuffed Bars,1/29/2021,4900.00,239,182
Madelene Upcott,Australia,White Choc,1/29/2021,5558.00,219,348
Camilla Castle,New Zealand,Almond Choco,1/29/2021,9142.00,1,436
Dennison Crosswaite,UK,Mint Chip Choco,1/29/2021,3514.00,143,235
Beverie Moffet,Canada,50% Dark Bites,1/29/2021,140.00,91,10
Kelci Walkden,UK,Spicy Special Slims,2/1/2021,11844.00,211,439
Gunar Cockshoot,New Zealand,Milk Bars,2/1/2021,6517.00,54,233
Kaine Padly,India,Milk Bars,2/1/2021,8715.00,24,282
Gigi Bohling,India,Organic Choco Syrup,2/1/2021,4851.00,455,180
Barr Faughny,USA,Organic Choco Syrup,2/1/2021,10983.00,185,379
Mallorie Waber,Australia,Baker's Choco Chips,2/1/2021,3290.00,75,329
Husein Augar,Australia,Organic Choco Syrup,2/1/2021,6545.00,86,212
Gunar Cockshoot,Canada,70% Dark Bites,2/1/2021,441.00,7,45
Dotty Strutley,India,Choco Coated Almonds,2/1/2021,9849.00,75,580
Andria Kimpton,New Zealand,White Choc,2/1/2021,3073.00,9,308
Rafaelita Blaksland,USA,Organic Choco Syrup,2/1/2021,4452.00,75,149
Karlen McCaffrey,Canada,85% Dark Bars,2/1/2021,10220.00,105,538
Andria Kimpton,UK,70% Dark Bites,2/1/2021,3150.00,11,210
Kaine Padly,USA,Smooth Sliky Salty,2/1/2021,6083.00,43,381
Ches Bonnell,UK,Fruit & Nut Bars,2/1/2021,14063.00,140,1407
Kaine Padly,UK,70% Dark Bites,2/1/2021,4578.00,256,306
Beverie Moffet,India,White Choc,2/1/2021,6454.00,21,461
Kelci Walkden,USA,Manuka Honey Choco,2/2/2021,6650.00,166,256
Barr Faughny,India,Peanut Butter Cubes,2/2/2021,2436.00,203,94
Mallorie Waber,New Zealand,Choco Coated Almonds,2/2/2021,6944.00,33,331
Gigi Bohling,India,After Nines,2/2/2021,19817.00,126,684
Barr Faughny,India,50% Dark Bites,2/2/2021,3521.00,50,235
Karlen McCaffrey,USA,After Nines,2/2/2021,10458.00,546,327
Roddy Speechley,New Zealand,99% Dark & Pure,2/2/2021,1302.00,401,57
Brien Boise,Australia,After Nines,2/2/2021,7952.00,221,249
Jan Morforth,Australia,Eclairs,2/2/2021,4753.00,133,265
Husein Augar,India,85% Dark Bars,2/2/2021,11452.00,81,546
Gunar Cockshoot,India,Spicy Special Slims,2/2/2021,9345.00,124,390
Marney O'Breen,India,Mint Chip Choco,2/2/2021,7490.00,172,357
Camilla Castle,India,Organic Choco Syrup,2/2/2021,1519.00,127,57
Andria Kimpton,UK,Smooth Sliky Salty,2/2/2021,3087.00,135,155
Curtice Advani,UK,Smooth Sliky Salty,2/2/2021,2352.00,178,168
Rafaelita Blaksland,Canada,Baker's Choco Chips,2/2/2021,11578.00,76,891
Husein Augar,USA,Peanut Butter Cubes,2/2/2021,462.00,223,22
Roddy Speechley,India,Caramel Stuffed Bars,2/3/2021,6916.00,32,315
Husein Augar,India,Orange Choco,2/3/2021,3248.00,101,542
Camilla Castle,Canada,Milk Bars,2/3/2021,6475.00,431,240
Van Tuxwell,UK,Peanut Butter Cubes,2/3/2021,9009.00,129,501
Rafaelita Blaksland,Canada,White Choc,2/3/2021,2835.00,20,189
Dotty Strutley,India,Milk Bars,2/3/2021,7644.00,77,294
Beverie Moffet,UK,70% Dark Bites,2/3/2021,3360.00,48,240
Beverie Moffet,USA,Mint Chip Choco,2/3/2021,1379.00,246,99
Jehu Rudeforth,USA,Organic Choco Syrup,2/3/2021,9534.00,229,382
Rafaelita Blaksland,USA,Peanut Butter Cubes,2/3/2021,14448.00,28,657
Roddy Speechley,USA,Baker's Choco Chips,2/3/2021,3829.00,432,240
Gunar Cockshoot,New Zealand,Orange Choco,2/4/2021,9086.00,206,758
Kelci Walkden,Canada,Milk Bars,2/4/2021,5803.00,299,194
Camilla Castle,UK,Manuka Honey Choco,2/4/2021,182.00,36,7
Madelene Upcott,UK,85% Dark Bars,2/4/2021,9863.00,21,520
Curtice Advani,New Zealand,Orange Choco,2/4/2021,4046.00,80,289
Andria Kimpton,UK,Fruit & Nut Bars,2/4/2021,3493.00,140,350
Jan Morforth,Canada,Almond Choco,2/4/2021,392.00,89,18
Gigi Bohling,India,Spicy Special Slims,2/4/2021,2534.00,19,111
Jehu Rudeforth,UK,85% Dark Bars,2/4/2021,7084.00,6,308
Gigi Bohling,UK,Orange Choco,2/4/2021,4809.00,70,344
Marney O'Breen,Canada,Drinking Coco,2/4/2021,7959.00,273,266
Kelci Walkden,Canada,99% Dark & Pure,2/4/2021,10521.00,231,527
Kelci Walkden,Canada,Fruit & Nut Bars,2/4/2021,56.00,168,5
Beverie Moffet,UK,Baker's Choco Chips,2/4/2021,3017.00,103,189
Karlen McCaffrey,India,Orange Choco,2/4/2021,18949.00,300,2707
Roddy Speechley,UK,Milk Bars,2/4/2021,8764.00,69,338
Dotty Strutley,India,Raspberry Choco,2/4/2021,12201.00,103,643
Oby Sorrel,USA,Spicy Special Slims,2/4/2021,11935.00,189,460
Barr Faughny,USA,Smooth Sliky Salty,2/4/2021,3724.00,322,266
